show_id|titre|description|langue|popularite|note|type|directeurs|acteurs|pays|date_ajout|annee_sortie|classement|duree|categories
s2237|Forensic|A pair of officers with history navigates clues from the past, false leads and a ticking clock to nab an elusive serial killer who targets young girls.|ml|4.697|6.5|Movie|Akhil Paul, Anas Khan|Tovino Thomas, Mamtha Mohandas, Renji Panicker, Saiju Kurup, Reba Monica John, Pratap Pothen, Giju John, Sreekanth Murali|India|June 7, 2020|2020|TV-14|132 min|International Movies, Thrillers
s2238|Forensic Files|Detectives and crime lab technicians use the latest and most fascinating procedures to solve crimes in this documentary-style show.|en|10.574|7.8|TV Show||Peter Thomas|United States|September 1, 2016|2011|TV-MA|9 Seasons|Crime TV Shows, Docuseries, Science & Nature TV
s2239|Forest of Piano|Kai grows up playing an old piano discarded in the woods; Shuhei's father is a famous pianist. Their chance meeting transforms their lives and music.|ja|15.487|5.9|TV Show||Soma Saito, Junichi Suwabe, Natsuki Hanae, Yuichi Nakamura, Kenn, Aoi Yuki, Mariya Ise, Katsuyuki Konishi, Toshiyuki Toyonaga, Koji Yusa, Hiroshi Yanaka, Ryoko Shiraishi, Yo Taichi, Marie Miyake, Ryo Hirohashi, Motoko Kumai, Maaya Sakamoto, Hideyuki Tanaka, Bin Shimada|Japan|June 24, 2019|2019|TV-14|2 Seasons|Anime Series, International TV Shows
s2240|Forever Chape|In the wake of the plane crash that claimed the lives of 71 people, the Brazilian soccer club Chapecoense seeks to rebuild the team that made history.|pt|1.101|6.5|Movie|Luis Ara||Brazil|August 2, 2018|2018|TV-MA|74 min|Documentaries, International Movies, Sports Movies
s2241|Forever Pure|The furor over the addition of two Muslim players to the Beitar Jerusalem soccer club underscores the role of institutionalized racism in Israel.|he|0.6|6.6|Movie|Maya Zinshtein||United Kingdom, Israel, Russia|May 29, 2017|2016|TV-MA|87 min|Documentaries, International Movies, Sports Movies
s2242|Forged in Fire|Bladesmiths vie for a cash prize by forging the best metal weapons from the pages of history in this competition series featuring expert judges.|en|15.288|8.3|TV Show||Wil Willis|United States|November 1, 2020|2019|TV-14|1 Season|Reality TV
s2243|Forget Me Not|Teenage Xue Ming was forced to marry the man who raped her. Years after abandoning her young sons to find a better life, can she escape the guilt?|en|0.6|0.0|TV Show|||United Kingdom|September 18, 2017|2011|TV-MA|1 Season|International TV Shows, TV Dramas
s2244|Forgive Us Our Debts|Threatened by creditors, a newly unemployed man agrees to work for a debt collector, but soon discovers his deal with the devil has unexpected costs.|it|4.577|6.1|Movie|Antonio Morabito|Marco Giallini, Claudio Santamaria, Jerzy Stuhr, Flonja Kodheli|Italy, Switzerland, Albania, Poland|May 4, 2018|2018|TV-MA|105 min|Dramas, International Movies
s2245|Forgotten|When his abducted brother returns seemingly a different man with no memory of the past 19 days, Jin-seok chases after the truth behind the kidnapping.|en|10.477|5.9|Movie|Hang-Jun Jang|Ha-neul Kang, Moo-Yul Kim, Young-hee Na, Seong-kun Mun, Myung-Ryul Nam, Eun-woo Lee, Chan-bi Jung, Go Choi, Seong-il Bae, Soon-won Lee|South Korea|February 21, 2018|2017|TV-MA|109 min|Dramas, International Movies, Thrillers
s2246|Forks Over Knives|According to the research of two food scientists, the popularity of processed foods has led to epidemic rates of obesity, diabetes and other diseases.|en|5.463|7.1|Movie|Lee Fulkerson||United States|October 3, 2019|2011|PG|96 min|Documentaries
s2247|Formula 1: Drive to Survive|Drivers, managers and team owners live life in the fast lane – both on and off the track – during one cutthroat season of Formula 1 racing.|en|67.661|8.3|TV Show|||United Kingdom|February 28, 2020|2020|TV-MA|2 Seasons|Docuseries
s2248|Fortune Feimster: Sweet & Salty|Actor, comedian and writer Fortune Feimster takes the stage and riffs on her southern roots, sexual awakenings, showbiz career and more.|en|7.439|5.9|Movie|Krysia Plonka|Fortune Feimster|United States|January 21, 2020|2020|TV-MA|61 min|Stand-Up Comedy
s2249|Four Christmases|A dating couple is forced to spend their first Christmas together visiting each of their four divorced parents – in a single day.|en|9.485|5.8|Movie|Seth Gordon|Vince Vaughn, Reese Witherspoon, Robert Duvall, Sissy Spacek, Jon Voight, Jon Favreau, Mary Steenburgen, Dwight Yoakam, Tim McGraw, Kristin Chenoweth|Germany, United States|January 1, 2021|2008|PG-13|88 min|Comedies, Romantic Movies
s2250|Four Seasons in Havana|As Havana slowly revolves through the year, wistful detective Mario Conde probes the sultry heart of the city to investigate dark and deadly crimes.|es|0.818|7.4|TV Show||Jorge Perugorría, Carlos Enrique Almirante, Mario Guerra, Luis Alberto García, Juana Acosta, Laura Ramos|Spain, Cuba|December 9, 2016|2016|TV-MA|1 Season|Crime TV Shows, International TV Shows, Spanish-Language TV Shows
s2251|Four Sisters and a Wedding|Four sisters unite to stop their young brother's pending nuptials upon meeting his fiancée’s demanding family, revealing long-simmering family issues.|tl|1.564|7.1|Movie|Cathy Garcia-Molina|Bea Alonzo, Toni Gonzaga, Angel Locsin, Shaina Magdayao, Enchong Dee, Sam Milby, Angeline Quinto, Coney Reyes|Philippines|February 27, 2019|2013|TV-14|125 min|Comedies, Dramas, International Movies
s2252|Four Weddings and a Funeral|A commitment-phobic Brit tries to reconnect with an alluring American who's about to make a seemingly awful mistake by marrying a wealthy, boring man.|en|14.443|6.7|Movie|Mike Newell|Hugh Grant, Andie MacDowell, James Fleet, Simon Callow, John Hannah, Kristin Scott Thomas, David Bower, Charlotte Coleman, David Haig, Rowan Atkinson, Sophie Thompson, Anna Chancellor, Corin Redgrave|United Kingdom|August 1, 2019|1994|R|118 min|Classic Movies, Comedies, International Movies
s2253|Fracture|Ted Crawford, who allegedly attempted to murder his wife, is now locked in a battle of wits with a young assistant district attorney.|en|39.998|7.3|Movie|Gregory Hoblit|Anthony Hopkins, Ryan Gosling, David Strathairn, Rosamund Pike, Embeth Davidtz, Billy Burke, Cliff Curtis, Fiona Shaw, Bob Gunton, Josh Stamberg|United States, Germany|April 1, 2019|2007|R|113 min|Dramas, Thrillers
s2254|Fractured|After his wife and injured daughter disappear from an ER, a man conducts a panicked search and becomes convinced the hospital is hiding something.|en|19.039|6.6|Movie|Brad Anderson|Sam Worthington, Lily Rabe, Stephen Tobolowsky, Adjoa Andoh, Lucy Capri, Lauren Cochrane, Shane Dean|United States|October 11, 2019|2019|TV-MA|100 min|Thrillers
s2255|Franca: Chaos and Creation|A documentary filmmaker chronicles the life and times of his mother, Franca Sozzani, the editor of Italian Vogue and a fashion-world provocateur.|en|3.079|7.3|Movie|Francesco Carrozzini||United States, Italy|October 1, 2017|2016|TV-MA|79 min|Documentaries, International Movies
s2256|Frances Ha|Determined to make it as a modern dancer in New York, a young woman pursues her unlikely goal with more enthusiasm than natural talent.|en|8.254|7.4|Movie|Noah Baumbach|Greta Gerwig, Mickey Sumner, Charlotte d'Amboise, Adam Driver, Hannah Dunne, Michael Esper, Grace Gummer, Patrick Heusinger, Josh Hamilton, Cindy Katz, Maya Kazan, Justine Lupe, Britta Phillips, Juliet Rylance, Dean Wareham, Michael Zegen|United States, Brazil|October 1, 2017|2012|R|86 min|Comedies, Dramas, Independent Movies
s2257|Francesco De Carlo: Cose di Questo Mondo|Taking the stage in Milan, Francesco De Carlo opens up about his bad habits, religion, politics and what he's learned from traveling the world.|it|0.671|7.0|Movie||Francesco De Carlo|Italy|April 12, 2019|2019|TV-MA|61 min|Stand-Up Comedy
s2258|Franco Escamilla: Bienvenido al mundo|Comedian Franco Escamilla shares stories about parenting his children when they get into trouble, with reflections on gender, friendship and romance.|es|8.756|8.5|Movie|Ulises Valencia|Franco Escamilla|Mexico|April 17, 2019|2019|TV-MA|54 min|Stand-Up Comedy
s2259|Franco Escamilla: Por la anécdota|Mexican stand-up comedian Franco Escamilla draws his jokes from real-life experiences – and he's willing to do anything for new material.|es|14.117|9.2|Movie|Ulises Valencia|Franco Escamilla|Mexico|June 8, 2018|2018|TV-MA|66 min|Stand-Up Comedy
s2260|Frank & Lola|A talented Las Vegas chef falls in love with an aspiring fashion designer but turns violently jealous when he realizes that she's hiding dark secrets.|en|15.389|5.5|Movie|Matthew Ross|Michael Shannon, Imogen Poots, Michael Nyqvist, Justin Long, Stella Schnabel, Rosanna Arquette, Emmanuelle Devos|United States|March 1, 2020|2016|TV-MA|87 min|Dramas, Thrillers
s2261|Frank and Cindy|Frank was a rising pop star when he married Cindy, but decades of dashed dreams and alcoholism have left the pair struggling to find happiness.|en|0.773|7.0|Movie|G.J. Echternkamp||United States|April 1, 2016|2007|TV-MA|70 min|Documentaries, Music & Musicals
s2262|Frank Elstner: Just One Last Question|In his farewell show, legendary German host Frank Elstner digs deep and savors his discussions with stars such as Daniel Brühl and Lena Meyer-Landrut.|de|1.905|7.5|TV Show||Klaas Heufer-Umlauf, Joko Winterscheidt, Lena Meyer-Landrut, Charlotte Roche, Daniel Brühl, Frank Elstner|Germany|June 12, 2020|2020|TV-MA|1 Season|International TV Shows, Stand-Up Comedy & Talk Shows
s2263|Frankenstein’s Monster’s Monster, Frankenstein|When actor David Harbour finds lost footage of his father's disastrous televised stage play of a literary classic, he uncovers shocking family secrets.|en|3.133|6.1|Movie|Daniel Gray Longino|David Harbour, Alex Ozerov, Kate Berlant, Mary Woronov, Alfred Molina, Heather Lawless, Michael Lerner, Marion Van Cuyck, Bridey Elliott, O-Lan Jones, Lidia Porto, Graham Wagner, Randolph Thompson|United States|July 16, 2019|2019|TV-14|32 min|Comedies
s2264|Frasier|Frasier Crane is a snooty but lovable Seattle psychiatrist who dispenses advice on his call-in radio show while ignoring it in his own relationships.|en|80.167|7.6|TV Show||Kelsey Grammer, Jane Leeves, David Hyde Pierce, Peri Gilpin, John Mahoney, Dan Butler|United States||2003|TV-PG|11 Seasons|Classic & Cult TV, TV Comedies
s2265|Frat Star|A freshman uninterested in joining a fraternity is convinced to pledge by a rich roommate who introduces him to a world darker than he ever dreamed.|en|2.107|4.8|Movie|Grant S. Johnson, Ippsie Jones|Connor Lawrence, Justin Mark, Cathryn Dylan, Chris Elliott, Tyler Weaks, Max Sheldon, Austin Ramsey, Peter O'Connor, Nicole Balsam, Kaitlin Mesh|United States|April 10, 2017|2017|TV-MA|85 min|Comedies
s2266|Freak Show|Forced to attend a new high school, a glamorous teen navigates hostile territory before taking a stand by running for homecoming queen.|en|6.916|7.3|Movie|Trudie Styler|Alex Lawther, Abigail Breslin, AnnaSophia Robb, Ian Nelson, Celia Weston, Laverne Cox, Bette Midler, Willa Fitzgerald, Larry Pine, John McEnroe, Mickey Sumner, Daniel Bellomy, Wally Dunn, Marceline Hugot|United States|August 13, 2020|2018|TV-MA|91 min|Comedies, Dramas, Independent Movies
s2267|Freaks|Hidden away by her eccentric father, a mysterious young girl uncovers frightening truths when she starts to make contact with the outside world.|en|94.024|6.8|Movie|Adam B. Stein, Zach Lipovsky|Emile Hirsch, Bruce Dern, Lexy Kolker, Grace Park, Amanda Crew, Aleks Paunovic, Michelle Harrison|United States, Canada|March 3, 2020|2018|R|105 min|Independent Movies, Sci-Fi & Fantasy, Thrillers
s2268|Freaks – You're One of Us|Tipped by a mysterious tramp, a meek fry cook discovers she has superpowers — and kindred spirits — and uncovers an unsavory, widespread conspiracy.|de|14.514|5.6|Movie|Felix Binder|Cornelia Gröschel, Tim Oliver Schultz, Wotan Wilke Möhring, Nina Kunzendorf, Frederic Linkemann, Finnlay Berger, Gisa Flake, Ralph Herforth, Thelma Buabeng|Germany|September 2, 2020|2020|TV-MA|93 min|Dramas, Independent Movies, International Movies
s2269|Fred Armisen: Standup For Drummers|For an audience of drummers, comedian Fred Armisen shares and demonstrates his thoughts on musical genres, drummer quirks, regional accents and more.|en|1.96|6.2|Movie|Lance Bangs|Fred Armisen||February 6, 2018|2018|TV-PG|65 min|Music & Musicals, Stand-Up Comedy
s2270|Fred Claus|The holiday season is ruined for Santa Claus when his cranky older brother – a repo man with a sizable rap sheet – visits him at the North Pole.|en|8.202|5.7|Movie|David Dobkin|Vince Vaughn, Paul Giamatti, John Michael Higgins, Miranda Richardson, Rachel Weisz, Kathy Bates, Trevor Peacock, Ludacris, Elizabeth Banks|United States|January 1, 2021|2007|PG|115 min|Children & Family Movies, Comedies
s2271|Free Fire|A sketchy arms transaction in a deserted warehouse turns into a free-for-all when the two sides engage in a take-no-prisoners shootout.|en|20.116|6.3|Movie|Ben Wheatley|Sharlto Copley, Armie Hammer, Brie Larson, Cillian Murphy, Jack Reynor, Babou Ceesay, Enzo Cilenti, Sam Riley, Michael Smiley, Noah Taylor, Patrick Bergin, Mark Monero|United Kingdom|October 21, 2019|2016|R|91 min|Action & Adventure, Comedies, Independent Movies
s2272|Free Rein|A 15-year-old from LA spends the summer at her mom's childhood home on an island off the coast of England, where she bonds with a mysterious horse.|en|28.543|8.1|TV Show||Jaylen Barron, Manpreet Bambra, Celine Buckens, Freddy Carter, Caroline Ford, Natalie Gumede, Bruce Herbelin-Earle, Noah Huntley, Kerry Ingram, Paul Luebke, Geoffrey McGivern, Navia Ziraili Robinson, Milo Twomey, Carla Woodcock|United States|July 6, 2019|2019|TV-G|3 Seasons|British TV Shows, Kids' TV, TV Dramas
s2273|Free Rein: The Twelve Neighs of Christmas|As Bright Fields preps for its Mistletoe Ball, a broken ornament leads Zoe to a family secret, while Gaby finds herself at the mercy of new boss Mia.|en|4.288|6.9|Movie|Marek Losey|Jaylen Barron, Billy Angel, Manpreet Bambra, Celine Buckens, Freddy Carter, Bruce Herbelin-Earle, Kerry Ingram, Charlotte Jordan, Geoff McGivern, Martin Bobb-Semple||December 7, 2018|2018|TV-G|58 min|Children & Family Movies, Dramas
s2274|Free Rein: Valentine's Day|Love is in the air as Zoe and friends go on a quest to find a fabled Maid's Stone. But when rivalry blinds them to danger, it's Raven to the rescue!|en|3.158|7.3|Movie||Jaylen Barron, Joe Ashman, Manpreet Bambra, Celine Buckens, Freddy Carter, Bruce Herbelin-Earle, Kerry Ingram, Charlotte Jordan, Geoffrey McGivern, Martin Bobb-Semple, Sadie Simm, Carla Woodcock|United States|February 1, 2019|2019|TV-G|51 min|Children & Family Movies, Dramas
s2275|Free State of Jones|A Mississippi farmer turns outlaw as he leads a ragtag band of fellow Civil War deserters and escaped slaves in a rebellion against the Confederacy.|en|18.419|6.7|Movie|Gary Ross|Matthew McConaughey, Gugu Mbatha-Raw, Mahershala Ali, Keri Russell, Christopher Berry, Sean Bridgers, Jacob Lofland, Thomas Francis Murphy, Bill Tangradi|United States|October 1, 2020|2016|R|139 min|Action & Adventure, Dramas
s2276|Free Willy|Ordered to clean up the graffiti he painted at a marine theme park, a troubled young boy unexpectedly bonds with a killer whale on exhibit.|en|36.233|6.2|Movie|Simon Wincer|Jason James Richter, Lori Petty, Jayne Atkinson, August Schellenberg, Michael Madsen, Michael Ironside, Richard Riehle, Mykelti Williamson, Michael Bacall, Danielle Harris|United States, France, Mexico|January 1, 2020|1993|PG|112 min|Children & Family Movies, Dramas
s2277|Freedom at Midnight|Jailed after becoming entangled in the murder of a cop, a prisoner assembles a team of inmates to hatch a plan for making a getaway.|ml|1.364|7.5|Movie|Tinu Pappachan|Antony Varghese, Vinayakan, Chemban Vinod Jose, Tito Wilson, Sinoj Varghese, Aswathy Manoharan||October 1, 2018|2018|TV-MA|135 min|Dramas, International Movies, Thrillers
s2278|Freej Al Taibeen|Local rivals gear up to compete in a traditional game that tests their physical strength and endurance, but complications disrupt their training.|en|0.6|2.0|Movie|Ahmed Zain|Ali Al Shehhi, Huda Al Ghanim, Muhammed Murshed, Yaser Alneyadi, Khaled Al-Nuaimi, Nasser Al-Dhahnani, Nawal Chamoun, Iman Husein|United Arab Emirates|May 29, 2020|2018|TV-PG|99 min|Comedies, Dramas, International Movies
s2280|Freezer's Campaign|When climate change makes Egypt freeze over, intelligence officers pose as a film crew on location to seek a device that can eliminate the frost.|ar|1.031|5.5|Movie|Sameh Abdulaziz|Bayyumi Fuad, Chico, Hesham Maged, Ahmed Fathy, Nesreen Ameen, Dareen Haddad, Bushra, Samy Maghawry|Egypt|June 6, 2019|2016|TV-MA|116 min|Comedies, International Movies
s2281|French Dirty|An aimless, unemployed millennial hangs out with his pals and resists growing up, until an affair with his best friend's girl forces him to change.|en|0.816|5.0|Movie|Wade Allain-Marcus, Jesse Allain-Marcus|Wade Allain-Marcus, Arjun Gupta, Melina Lizette, Elsa Biedermann, Katie Blake, Santana Dempsey|United States|February 4, 2016|2015|TV-MA|72 min|Dramas, Independent Movies
s2282|French Toast|With only her mother's diary and a locket as clues, a South African woman travels to Paris in search of the long-lost sibling she never knew she had.|en|1.225|7.0|Movie|Paul Krüger, Anél Stolp|Lika Berning, Thierry Ballarin, Deon Lotz, Heléne Lombard, Paul du Toit, Roberta Fox, Trudi Conradie, Rod Alexander, Lochner De Kock, Tony Caprari|South Africa|February 12, 2020|2015|TV-PG|86 min|Comedies, International Movies, Romantic Movies
s2283|Frequency|A detective seizes a precious opportunity to change the past when she finds she can communicate with her deceased, estranged father via a time warp.|en|11.116|7.3|TV Show||Peyton List, Riley Smith, Mekhi Phifer, Devin Kelley, Lenny Jacobson, Daniel Bonjour, Anthony Ruivivar|United States|September 4, 2017|2016|TV-14|1 Season|Crime TV Shows, TV Dramas, TV Mysteries
s2284|Freshman Year|A devout preacher's son leaves his protective home to begin college and meets a self-reliant student who will test his faith and his heart.|en|1.4|6.3|Movie|Jude Okwudiafor Johnson|Diallo Thompson, Natalia Dominguez, Benjamin A. Onyango, Gregory Alan Williams, Desalene Jones, Wynton Odd, Ed Gonzalez Moreno, Natasha Dee Davis, Cameron Schaefer, Joshua Flores-Q|United States|March 3, 2020|2019|TV-PG|104 min|Dramas, Faith & Spirituality
s2285|Freud|Eager to make his name in 19th-century Vienna, a hungry young Sigmund Freud joins a psychic and an inspector to solve a string of bloody mysteries.|de|10.363|7.6|TV Show||Robert Finster, Ella Rumpf, Georg Friedrich, Christoph Krutzler, Brigitte Kren, Anja Kling, Philipp Hochmair|Austria, Germany|March 23, 2020|2020|TV-MA|1 Season|Crime TV Shows, International TV Shows, TV Dramas
s2286|Friday Night Tykes|This docuseries dives into the cutthroat world of Texas youth football, where kids face grueling demands and pressure from coaches and parents to win.|en|0.87|6.8|TV Show|||United States| January 17, 2018|2017|TV-PG|4 Seasons|Docuseries, Reality TV
s2287|Friday the 13th|A group of teenage camp counselors raises the ire of Jason Voorhees, a masked, homicidal maniac, in this remake of the classic slasher flick.|en|33.062|5.8|Movie|Marcus Nispel|Jared Padalecki, Danielle Panabaker, Amanda Righetti, Travis Van Winkle, Aaron Yoo, Derek Mears, Jonathan Sadowski, Julianna Guill, Ben Feldman, Arlen Escarpeta, Ryan Hansen|United States|January 1, 2020|2009|R|97 min|Horror Movies
s2288|Friend Request|A popular college student's love of social media becomes her biggest regret when a mysterious account marks each of her friends for a grisly demise.|en|15.292|5.5|Movie|Simon Verhoeven|Alycia Debnam-Carey, William Moseley, Connor Paolo, Brit Morgan, Brooke Markham, Sean Marquette, Liesl Ahlers, Shashawnee Hall, Susan Danford|Germany|April 18, 2018|2016|R|92 min|Horror Movies, International Movies
s2289|Friends|This hit sitcom follows the merry misadventures of six 20-something pals as they navigate the pitfalls of work, life and love in 1990s Manhattan.|en|192.237|8.4|TV Show||Jennifer Aniston, Courteney Cox, Lisa Kudrow, Matt LeBlanc, Matthew Perry, David Schwimmer|United States||2003|TV-14|10 Seasons|Classic & Cult TV, TV Comedies
s2290|Friends from College|Twenty years after graduation, a tight-knit group of college friends reconnects and discovers that love hasn't gotten easier with age.|en|8.135|6.8|TV Show||Keegan-Michael Key, Cobie Smulders, Billy Eichner, Fred Savage, Nat Faxon, Annie Parisse, Jae Suh Park|United States|January 11, 2019|2019|TV-MA|2 Seasons|Romantic TV Shows, TV Comedies
s2292|From A to B|To celebrate the memory of their pal who passed away, three estranged friends attempt to reconnect on an eventful road trip from Abu Dhabi to Beirut.|en|0.6|0.0|Movie|Ali F. Mostafa|Fahad Albutairi, Shadi Alfons, Fadi Rifaai, Samer al Masri, Wonho Chung, Leem Lubany, Maha Abou Ouf, Ahd, Yousra El Lozy, Ali Suliman, Khaled Abol Naga, Madeline Zima|United Arab Emirates, Jordan, Lebanon|June 11, 2020|2014|TV-MA|104 min|Comedies, Dramas, International Movies
s2293|From Dusk Till Dawn|Bank-robbing brothers encounter vengeful lawmen and demons south of the border in this original series based on Robert Rodriguez' cult horror film.|en|23.491|6.3|TV Show||D.J. Cotrona, Zane Holtz, Eiza Gonzalez, Jesse Garcia, Madison Davenport, Brandon Soo Hoo, Wilmer Valderrama, Robert Patrick, Jake Busey, Samantha Esteban, Don Johnson|United States|December 5, 2016|2016|TV-MA|3 Seasons|Classic & Cult TV, TV Action & Adventure, TV Horror
s2295|From One Second to the Next|Werner Herzog chronicles the devastating consequences of texting and driving. The film examines how lives can be forever altered by a trivial text.|en|1.662|7.2|Movie|Werner Herzog||United States|April 15, 2014|2013|TV-14|35 min|Documentaries
s2296|From Paris with Love|A low-level intelligence agent gets pulled into action and espionage above his pay grade when he's ordered to assist a trigger-happy senior agent.|en|13.872|6.2|Movie|Pierre Morel|John Travolta, Jonathan Rhys Meyers, Kasia Smutniak, Richard Durden, Bing Yin, Amber Rose Revah, Eric Godon, François Bredon, Chems Dahmani, Sami Darr, Didier Constant|France, United Kingdom, United States|September 8, 2020|2010|R|93 min|Action & Adventure, International Movies
s2297|Froning: The Fittest Man in History|Follow the grueling training regimen of Rich Froning Jr. as he sets his sights on winning an unprecedented fourth CrossFit Games title.|en|1.524|6.5|Movie|Heber Cannon|Rich Froning|United States|July 15, 2018|2016|PG|99 min|Documentaries, International Movies, Sports Movies
s2298|Fronteras|When a new, deadly narcotic sweeps the American Southwest, a Border Patrol agent must contend with a task force that challenges his duties and morals.|en|1.4|7.0|Movie|Andrew Dean|Steve Oropeza, Steven Sean Garland, Wade Everett, Randy Green, Cortez Chappell, Tori Osborn, Larry Coulter, Cris Acosta|United States|February 9, 2020|2018|TV-MA|106 min|Dramas, Independent Movies, Thrillers
s2299|Frontier|In 18th-century North America, ruthless trappers and entrepreneurs fight to wrest control of the fur trade from the mighty Hudson's Bay Company.|en|15.577|6.6|TV Show||Jason Momoa, Landon Liboiron, Alun Armstrong, Jessica Matten, Zoe Boyle, Allan Hawco, Evan Jonigkeit, Katie McGrath|Canada|November 23, 2018|2018|TV-MA|3 Seasons|International TV Shows, TV Action & Adventure, TV Dramas
s2300|Frozen Planet|Go on a journey through the Arctic and Antarctic with this visually stunning program that explores these wildernesses and their inhabitants.|en|9.456|8.3|TV Show|Alastair Fothergill|David Attenborough|United Kingdom, United States, Spain, Germany, Greece, Canada|January 28, 2016|2011|TV-PG|1 Season|British TV Shows, Docuseries, International TV Shows
s2303|Frozen River|On a Mohawk reservation on the Canadian border, Ray Eddy teams with a widowed tribe member to smuggle illegal immigrants into the United States.|en|8.625|6.6|Movie|Courtney Hunt|Melissa Leo, Misty Upham, Charlie McDermott, Michael O'Keefe, Mark Boone Junior, James Reilly, Jay Klaitz, John Canoe, Dylan Carusona, Michael Sky|United States|July 1, 2019|2008|R|97 min|Dramas, Independent Movies
s2304|Fruitvale Station|This dramatic rendering of a real-life tragedy recounts the final hours of Oscar Grant, shot by San Francisco transit police on New Year's Day, 2009.|en|9.284|7.4|Movie|Ryan Coogler|Michael B. Jordan, Melonie Diaz, Octavia Spencer, Kevin Durand, Chad Michael Murray, Ahna O'Reilly, Ariana Neal, Keenan Coogler, Trestin George, Joey Oglesby|United States|November 12, 2020|2013|R|85 min|Dramas, Independent Movies
s2305|Fugitiva|A domestic abuse survivor orchestrates an elaborate deception to protect her family from her powerfully wealthy husband and his vindictive enemies.|es|5.832|6.8|TV Show||Paz Vega, Julio Bracho, Arantza Ruiz, Luisa Rubino, Lander Otaola, Iván Pellicer, José Manuel Poga, Mercedes Sampietro, Charo López, Roberto Álamo, Raúl Medina, Melina Matthews, Pedro Mari Sánchez, Odiseo Bichir|Spain|November 23, 2018|2018|TV-MA|1 Season|Crime TV Shows, International TV Shows, Spanish-Language TV Shows
s2306|Fukrey|Four young male friends tackle the challenges and unexpected catastrophes of growing up clueless in this music-packed Bollywood teen drama.|hi|2.448|6.9|Movie|Mrighdeep Singh Lamba|Pulkit Samrat, Manjot Singh, Ali Fazal, Varun Sharma, Richa Chadda, Priya Anand, Vishakha Singh, Pankaj Tripathi|India|December 15, 2019|2013|TV-14|135 min|Action & Adventure, Comedies, Dramas
s2308|Fukrey Boyzzz: Space Mein Fukrapanti|After a foreboding dream about aliens comes true, a fun-loving trio must prevent human intelligence from being stolen from planet Earth.|en|0.7|0.0|Movie|Avinash Walzade|Viraaj Modgill, Jasleen Singh, Pooja Punjabi, Amit Deondi, Ketan Kava, Zeel Thakkar, Manish Bhavan, Viswanathan Sridhar|India|November 13, 2020|2020|TV-Y7|75 min|Children & Family Movies, Comedies
s2309|Full Count|When tragic events force an aspiring baseball player to forgo his big league dreams and return home, saving the family farm grants him renewed purpose.|en|1.965|5.3|Movie|Robert Eagar|John Paul Kakos, Natalia Livingston, E. Roger Mitchell, Rick Hearst, Jason London, Victoria Elizabeth Staley, Adam Boyer|United States|February 23, 2020|2019|TV-PG|110 min|Children & Family Movies, Dramas, Faith & Spirituality
s2310|Full Out|After a debilitating accident ends her Olympic dreams, gymnast Ariana Berlin finds recovery and hope in the world of hip-hop and college athletics.|en|9.673|7.4|Movie|Sean Cisterna|Jennifer Beals, Ana Golja, Art Hindle, Jake Epstein, Ramona Milano, Trevor Tordjman, Lamar Johnson, Asha Bromfield, Sarah Fisher|Canada, United States|September 1, 2016|2015|TV-PG|88 min|Children & Family Movies, Dramas, Sports Movies
s2311|Full Out 2: You Got This!|With a championship on the line, Chayse and her gymnastics team look to a local break-dancer for all the right moves to rise above their competition.|en|4.492|6.6|Movie|Jeff Deverett|Sydney Cope, Logan Edra, Liza Wilk, Braedyn Bruner, Billie Merritt|United States|January 1, 2021|2020|TV-Y|91 min|Children & Family Movies, Dramas, Sports Movies
s2312|Fuller House|The Tanner family’s adventures continue as DJ Tanner-Fuller shares a home with her sister Stephanie and friend Kimmy who help raise her three boys.|en|34.457|7.5|TV Show||Candace Cameron Bure, Jodie Sweetin, Andrea Barber, Michael Campion, Elias Harger, Soni Bringas, Dashiell Messitt, Fox Messitt, John Stamos, Bob Saget, Dave Coulier, Lori Loughlin, Scott Weinger, Blake Tuomy-Wilhoit, Dylan Tuomy-Wilhoit, John Brotherton, Juan Pablo Di Pace|United States|December 6, 2019|2020|TV-PG|5 Seasons|TV Comedies
s2313|FullMetal Alchemist|While alchemist Edward Elric searches for a way to restore his brother Al's body, the military government and mysterious monsters are watching closely.|ja|12.082|5.2|Movie|Fumihiko Sori|Ryosuke Yamada, Tsubasa Honda, Dean Fujioka, Misako Renbutsu, Kanata Hongo, Shinji Uchiyama, Jun Kunimura, Yo Oizumi, Ryuta Sato, Fumiyo Kohinata, Yasuko Matsuyuki|Japan|February 19, 2018|2017|TV-PG|134 min|Action & Adventure, Dramas, International Movies
s2314|Fullmetal Alchemist: Brotherhood|After both suffer physical damage – brothers Edward and Alphonse battle nefarious forces to try to reclaim their bodies in this supernatural anime.|ja|66.604|8.7|TV Show|Yasuhiro Irie|Romi Park, Rie Kugimiya, Megumi Takamoto, Shinichiro Miki, Fumiko Orikasa, Kenji Utsumi, Keiji Fujiwara, Yuji Ueda, Biichi Sato, Tetsuya Kakihara, Kenji Hamada, Kaori Nazuka, Hidekatsu Shibata, Kenta Miyake, Kikuko Inoue, Tetsu Shiratori, Minami Takayama, Hiroyuki Yoshino, Yoko Soumi, Kazuya Nakai, Ryuzaburo Otomo|Japan|January 1, 2018|2010|TV-14|5 Seasons|Anime Series, International TV Shows
